pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"HD 60532 b","HD 60532",201.90000000000,0.7700000000,0.260000,,1.06000000,,,1.500000,2.570000,6245.00,25.97160000,2008
"HD 60532 c","HD 60532",600.10000000000,1.6000000000,0.030000,,2.51000000,,,1.500000,2.570000,6245.00,25.97160000,2008
"HD 62509 b","HD 62509",589.64000000000,1.6400000000,0.020000,,2.30000000,,,,,4892.63,,2006
"HD 63454 b","HD 63454",2.81805000000,0.0400000000,0.000000,,0.25000000,,,0.420000,0.770000,4812.00,37.68940000,2005
"HD 63765 b","HD 63765",358.00000000000,0.9400000000,0.240000,,0.53000000,,,0.650000,0.830000,5449.00,32.53760000,2009
"HD 6434 b","HD 6434",21.99800000000,0.1400000000,0.170000,,0.49000000,,,1.100000,1.120000,5769.00,42.35800000,2003
"Kepler-1739 b","Kepler-1739",7.34370994600,,,,,0.21684115,,0.865000,0.762000,5757.00,783.66600000,2021
"HD 65216 b","HD 65216",577.60000000000,1.3010000000,0.270000,,1.29500000,,,0.874000,,5612.00,35.12050000,2003
"HD 66428 b","HD 66428",2269.81726000000,3.3950000000,0.471000,16.63900,10.94600000,,,1.010000,,,53.28170000,2005
"HD 68988 b","HD 68988",6.27711000000,0.0700000000,0.120000,,1.97000000,,,1.280000,1.190000,5932.00,60.84470000,2001
"HD 69830 b","HD 69830",8.66700000000,0.0785000000,0.100000,,0.03210000,,,0.860000,,5385.00,12.55910000,2006
"HD 69830 c","HD 69830",31.56000000000,0.1860000000,0.130000,,0.03710000,,,0.860000,,5385.00,12.55910000,2006
"HD 69830 d","HD 69830",197.00000000000,0.6300000000,0.070000,,0.05700000,,,0.860000,,5385.00,12.55910000,2006
"HD 70573 b","HD 70573",851.80000000000,1.7600000000,0.400000,,6.10000000,,,1.000000,,5737.00,59.18200000,2007
"HD 70642 b","HD 70642",2124.54000000000,3.3180000000,0.175000,,1.99300000,,,1.078000,0.984000,5732.00,29.27600000,2003
"HD 7199 b","HD 7199",615.00000000000,1.3600000000,0.190000,,0.27000000,,,0.770000,0.970000,5371.00,36.15310000,2011
"HD 72659 b","HD 72659",3549.00000000000,4.6070000000,0.239300,,2.85100000,,,1.033000,1.360000,5929.00,51.89490000,2002
"HD 73267 b","HD 73267",1257.99159000000,2.2290000000,0.261000,130.84300,4.15800000,,,0.930000,,,50.40930000,2008
"HD 73526 b","HD 73526",188.30000000000,0.6500000000,0.190000,,3.08000000,,,1.140000,1.530000,5601.00,97.23960000,2002
"HD 73526 c","HD 73526",379.10000000000,1.0300000000,0.280000,,2.25000000,,,1.014000,,,97.23960000,2005
"HD 73534 b","HD 73534",1750.00000000000,2.9900000000,0.126000,,1.11200000,,,1.160000,2.580000,4917.00,83.33210000,2008
"HD 74156 b","HD 74156",51.63564000000,0.2800000000,0.636000,,1.67500000,,,1.100000,,,57.60300000,2003
"HD 74156 c","HD 74156",2448.48726000000,3.6780000000,0.377000,120.16200,8.66500000,,,1.100000,,,57.60300000,2003
"HD 7449 b","HD 7449",1270.55195000000,2.4380000000,0.752000,171.63100,8.17400000,,,1.196000,,,38.66200000,2011
"HD 75289 b","HD 75289",3.50927000000,0.0500000000,0.030000,,0.49000000,,,1.290000,1.230000,6117.00,29.11580000,1999
"HD 75898 b","HD 75898",422.82000000000,1.2025000000,0.105000,,2.55000000,,,1.295000,,6122.00,78.05050000,2007
"HD 76700 b","HD 76700",3.97097000000,0.0500000000,0.090000,,0.21000000,,,0.990000,1.370000,5644.00,60.88310000,2002
"HD 7924 b","HD 7924",5.39792000000,0.0600000000,0.060000,,0.02000000,,,0.650000,0.780000,5131.00,16.99220000,2008
"HD 79498 b","HD 79498",1807.00000000000,2.9800000000,0.575000,,1.34000000,,,1.080000,1.050000,5748.00,48.94890000,2011
"HD 80606 b","HD 80606",111.43676500000,0.4603000000,0.931830,89.24000,4.16410000,1.03200000,,1.050000,1.050000,5565.00,66.47110000,2001
"HD 81040 b","HD 81040",1002.70000000000,1.9460000000,0.525000,73.00000,7.24000000,,,0.990000,,,34.43410000,2005
"HD 81688 b","HD 81688",183.93000000000,0.6480000000,0.040000,,1.65400000,,,1.070000,11.130000,4797.00,85.71830000,2007
"HD 82886 b","HD 82886",705.00000000000,1.5800000000,0.070000,,2.33000000,,,2.530000,5.260000,4953.00,127.06100000,2011
"HD 82943 b","HD 82943",441.47000000000,1.1830600000,0.162000,90.00000,1.68100000,,,1.080000,1.182600,5935.00,27.59020000,2003
"HD 82943 c","HD 82943",220.07800000000,0.7434500000,0.366300,90.00000,1.95900000,,,1.080000,1.182600,5935.00,27.59020000,2003
"HD 83443 b","HD 83443",2.98562800000,0.0406000000,0.012000,,0.40200000,,,1.000000,0.940000,5442.00,40.89910000,2002
"HD 8535 b","HD 8535",1313.00000000000,2.4500000000,0.150000,,0.68000000,,,1.130000,1.190000,6136.00,55.44010000,2010
"HD 85390 b","HD 85390",799.52000000000,1.3730000000,0.500000,,0.09900000,,,0.758000,,5186.00,33.52250000,2009
"HD 8574 b","HD 8574",227.00000000000,0.7600000000,0.300000,,2.03000000,,,1.340000,1.380000,6064.00,44.82640000,2002
"HD 86081 b","HD 86081",2.13784310000,0.0346000000,0.011900,,1.48000000,,,1.210000,1.460000,5939.00,103.93600000,2006
"HD 86226 b","HD 86226",1628.00000000000,2.7300000000,0.059000,,0.45000000,,176.00,1.019000,1.053000,5863.00,45.68300000,2009
"HD 86264 b","HD 86264",1488.79123000000,2.7630000000,0.821000,93.59100,9.80800000,,,1.260000,,,67.81070000,2009
"HD 8673 b","HD 8673",1644.69097000000,2.9700000000,0.730000,95.45000,13.24800000,,,1.280000,,,37.86190000,2009
"HD 87883 b","HD 87883",3006.00000000000,3.7700000000,0.720000,16.80000,6.31000000,,,0.800000,,,18.29120000,2009
"HD 88133 b","HD 88133",3.41488400000,0.0479000000,0.031000,,0.28450000,,,1.260000,2.200000,5392.00,73.61230000,2004
"Kepler-782 b","Kepler-782",158.68533080000,,,,,0.28637702,,0.980000,1.010000,5867.00,446.84400000,2016
"HD 89307 b","HD 89307",2166.00000000000,3.2700000000,0.200000,,2.11000000,,,1.270000,1.100000,5955.00,32.01040000,2009
"HD 89744 b","HD 89744",256.78000000000,0.9170000000,0.677000,,8.35000000,,,1.860000,,6291.00,38.63640000,1999
"HD 90156 b","HD 90156",49.77000000000,0.2500000000,0.310000,,0.05700000,,,0.840000,,5599.00,21.94960000,2009
"HD 92788 b","HD 92788",325.80300000000,0.9700000000,0.350000,,3.76000000,,,1.150000,1.140000,5744.00,34.65380000,2000
"HD 93083 b","HD 93083",143.58000000000,0.4770000000,0.140000,,0.37000000,,,0.700000,,4995.00,28.51590000,2005
"HD 9446 b","HD 9446",30.05200000000,0.1890000000,0.200000,,0.70000000,,,1.000000,1.000000,5793.00,50.35030000,2009
"HD 9446 c","HD 9446",192.90000000000,0.6540000000,0.060000,,1.82000000,,,1.000000,1.000000,5793.00,50.35030000,2009
"HD 95089 b","HD 95089",464.40000000000,1.3600000000,0.119000,,1.26000000,,,1.540000,5.080000,4918.00,136.95700000,2009
"HD 96063 b","HD 96063",362.50000000000,1.1100000000,0.170000,,1.27000000,,,1.370000,4.750000,5020.00,140.06500000,2011
"HD 96127 b","HD 96127",647.29999000000,1.4200000000,0.300000,,20.96000000,,,10.940000,51.100000,3943.00,587.65900000,2011
"HD 96167 b","HD 96167",498.04000000000,1.3320000000,0.685000,,0.71700000,,,1.270000,1.940000,5733.00,85.30060000,2009
"HD 97658 b","HD 97658",9.48971160000,,0.050000,89.05000,0.02611472,0.18913406,751.00,0.850000,0.728000,5212.00,21.56180000,2010
"HD 98219 b","HD 98219",433.80000000000,1.2600000000,0.079000,,1.96400000,,,1.410000,4.600000,4925.00,113.70400000,2011
"HD 99109 b","HD 99109",439.29999000000,1.1100000000,0.090000,,0.44000000,,,0.760000,0.980000,5282.00,54.79010000,2005
"HD 99492 b","HD 99492",17.05030000000,,0.034000,,0.08023197,,,0.850000,,4929.00,18.20380000,2004
"HD 99706 b","HD 99706",841.00000000000,1.9800000000,0.250000,,1.23000000,,,1.460000,5.520000,4862.00,146.60000000,2011
"HIP 12961 b","HIP 12961",57.43500000000,0.2500000000,0.170000,,0.36000000,,,0.690000,0.650000,3901.00,23.37100000,2010
"HIP 14810 b","HIP 14810",6.67389200000,0.0696000000,0.143990,,3.90000000,,,1.010000,1.070000,5544.00,50.48000000,2005
"HIP 14810 c","HIP 14810",147.74700000000,0.5490000000,0.156600,,1.31000000,,,1.010000,1.070000,5544.00,50.48000000,2006
"HIP 14810 d","HIP 14810",981.80000000000,1.9400000000,0.185000,,0.59000000,,,1.010000,1.070000,5544.00,50.48000000,2009
"Kepler-746 b","Kepler-746",3.48159251000,,,,,0.09902757,,0.910000,0.930000,5418.00,,2016
"HIP 5158 b","HIP 5158",345.72000000000,0.8900000000,0.520000,,1.42000000,,,0.780000,,4962.00,51.60260000,2009
"GJ 1148 b","GJ 1148",41.38000000000,0.1660000000,0.380000,,0.30425070,,,0.344045,0.358519,3287.00,11.01430000,2010
"HIP 57274 b","HIP 57274",8.13520000000,0.0700000000,0.190000,,0.02000000,,,0.290000,0.780000,4510.00,25.86180000,2011
"HIP 57274 c","HIP 57274",32.03000000000,0.1780000000,0.050000,,0.40902369,,,0.730000,0.680000,4640.00,25.86180000,2011
"HIP 57274 d","HIP 57274",431.70000000000,1.0100000000,0.270000,,0.52670000,,,0.730000,0.680000,4640.00,25.86180000,2011
"HIP 70849 b","HIP 70849",3649.00000000000,3.9900000000,0.650000,96.00000,4.50000000,,,0.650000,,,24.05720000,2009
"iot Dra b","iot Dra",510.85440000000,1.4530000000,0.701000,46.00000,11.82000000,,,1.540000,11.790000,4504.00,31.32832000,2002
"HIP 78530 b","HIP 78530",,740.0000000000,,,23.00000000,,2700.00,2.500000,,10500.00,136.75900000,2010
"HIP 79431 b","HIP 79431",111.70000000000,0.3600000000,0.290000,,2.10000000,,,0.490000,,3191.00,14.53240000,2009
"HR 810 b","HR 810",302.79999000000,0.9200000000,0.140000,,2.27000000,,,1.340000,1.130000,6167.00,17.31810000,1999
"HR 8799 b","HR 8799",170000.00000000000,68.0000000000,,,7.00000000,1.20000000,,1.500000,,,41.24410000,2008
"HR 8799 c","HR 8799",69000.00000000000,38.0000000000,,,10.00000000,1.20000000,,1.500000,,,41.24410000,2008
"HR 8799 d","HR 8799",37000.00000000000,24.0000000000,,,10.00000000,1.20000000,,1.500000,,,41.24410000,2008
"HR 8799 e","HR 8799",,16.4000000000,0.150000,25.00000,10.00000000,1.17000000,1150.00,,,7400.00,41.24410000,2010
"kap CrB b","kap CrB",1253.68000000000,2.5000000000,0.040000,,1.52200000,,,1.330000,4.680000,4840.00,30.06510000,2007
"xi Aql b","xi Aql",136.97000000000,0.6250000000,0.059000,,1.94100000,,,1.740000,10.860000,4841.00,56.18580000,2007
"Lupus-TR-3 b","Lupus-TR-3",3.91405000000,0.0464000000,0.000000,88.30000,0.81000000,0.89000000,,0.870000,0.820000,5000.00,773.40900000,2007
"MOA-2007-BLG-192L b","MOA-2007-BLG-192L",,0.6200000000,,,0.01000000,,,0.060000,,,1000.00000000,2008
"MOA-2007-BLG-400L b","MOA-2007-BLG-400L",,5.9000000000,,,1.70000000,,,0.690000,,,6890.00000000,2008
"MOA-2008-BLG-310L b","MOA-2008-BLG-310L",,1.1000000000,,,0.07360000,,,0.210000,,,7700.00000000,2009
"MOA-2009-BLG-266L b","MOA-2009-BLG-266L",2800.00000000000,3.2000000000,,,0.03270000,,,0.560000,,,3040.00000000,2011
"MOA-2009-BLG-319L b","MOA-2009-BLG-319L",,2.0300000000,,,0.21200000,,,0.524000,,,7050.00000000,2010
"MOA-2009-BLG-387L b","MOA-2009-BLG-387L",1980.00000000000,1.8000000000,,52.00000,2.60000000,,,0.190000,,,5690.00000000,2010
"BD-13 2130 b","BD-13 2130",714.29999000000,1.6600000000,0.210000,,9.78000000,,,2.120000,19.170000,4545.00,925.21400000,2007
"OGLE-2005-BLG-071L b","OGLE-2005-BLG-071L",,3.6000000000,,,3.80000000,,55.00,0.460000,,,3200.00000000,2005
"OGLE-2005-BLG-169L b","OGLE-2005-BLG-169L",,3.5000000000,,,0.04440000,,,0.690000,,,4100.00000000,2006
"OGLE-2005-BLG-390L b","OGLE-2005-BLG-390L",3285.00000000000,2.6000000000,,,0.01700000,,50.00,0.220000,,,6600.00000000,2005
"OGLE-2006-BLG-109L b","OGLE-2006-BLG-109L",1788.50000000000,2.3000000000,,,0.72700000,,,0.510000,,,1510.00000000,2008
"OGLE-2006-BLG-109L c","OGLE-2006-BLG-109L",4927.50000000000,4.5000000000,0.150000,64.00000,0.27000000,,,0.510000,,,1510.00000000,2008
"OGLE-2007-BLG-368L b","OGLE-2007-BLG-368L",,2.8000000000,,,0.06000000,,,0.640000,,,5900.00000000,2009
"OGLE-2003-BLG-235L b","OGLE-2003-BLG-235L",,4.3000000000,,,2.60000000,,,0.630000,,,5800.00000000,2004
"OGLE2-TR-L9 b","OGLE2-TR-L9",2.48553350000,0.0308000000,,79.80000,4.50000000,1.61000000,,1.520000,1.530000,6933.00,1627.63000000,2008
"OGLE-TR-10 b","OGLE-TR-10",3.10127800000,0.0434000000,,90.00000,0.62000000,1.25000000,,1.140000,1.170000,5950.00,1344.97000000,2004
"OGLE-TR-111 b","OGLE-TR-111",4.01444630000,0.0473000000,,88.30000,,1.01900000,,,0.830000,,1068.33000000,2004
"OGLE-TR-113 b","OGLE-TR-113",1.43247520000,0.0228900000,,87.80000,1.26000000,1.09300000,,0.779000,0.774000,4790.00,566.45900000,2004
"OGLE-TR-132 b","OGLE-TR-132",1.68986800000,0.0303500000,,83.40000,1.18000000,1.20000000,2013.00,1.305000,1.320000,6210.00,2012.62000000,2004
"OGLE-TR-182 b","OGLE-TR-182",3.97910000000,0.0510000000,0.000000,85.70000,1.01000000,1.13000000,,1.140000,1.140000,5924.00,2501.75000000,2007
"OGLE-TR-211 b","OGLE-TR-211",3.67724000000,0.0510000000,0.000000,87.20000,1.03000000,1.36000000,,1.330000,1.640000,6325.00,1515.26000000,2007
"OGLE-TR-56 b","OGLE-TR-56",1.21191890000,0.0238300000,,77.60000,1.39000000,1.36301421,2212.00,1.228000,1.363000,6050.00,,2002
"Kepler-743 b","Kepler-743",3.17926292100,,,,,0.10794897,,0.940000,0.850000,5486.00,278.98700000,2016
"PSR B1257+12 b","PSR B1257+12",25.26200000000,0.1900000000,0.000000,50.00000,0.00006293,,,1.400000,,,600.00000000,1994
"PSR B1257+12 c","PSR B1257+12",66.54190000000,0.3600000000,0.018600,53.00000,0.01352925,,,1.400000,,,600.00000000,1992
"PSR B1257+12 d","PSR B1257+12",98.21140000000,0.4600000000,,47.00000,0.01227071,,,1.400000,,,600.00000000,1992
"PSR B1620-26 b","PSR B1620-26",,23.0000000000,,,2.50000000,,,1.350000,,,,2003
"Qatar-1 b","Qatar-1",1.42002420000,0.0233200000,0.000000,84.08000,1.29400000,1.14300000,1418.00,0.838000,0.803000,5013.00,185.61500000,2010
"Qatar-2 b","Qatar-2",1.33711647000,0.0215300000,0.000000,86.12000,2.49400000,1.25400000,1344.00,0.743000,0.776000,4645.00,181.37400000,2011
"rho CrB b","rho CrB",39.84380000000,0.2245000000,0.038000,,1.09300000,,,0.950000,1.340000,5817.00,17.46710000,1997
"SWEEPS-4 b","SWEEPS-4",4.20000000000,0.0550000000,,,3.80000000,0.81000000,,1.240000,1.180000,,,2006
"SWEEPS-11 b","SWEEPS-11",1.79600000000,0.0300000000,,,9.70000000,1.13000000,,1.100000,1.450000,,,2006
"tau Boo b","tau Boo",3.31245680000,0.0490000000,0.011000,,4.32000000,,,1.320000,1.425880,6466.27,15.65210000,1996
"TrES-1 b","TrES-1",3.03007000000,,0.000000,90.00000,0.84000000,1.13000000,,1.040000,0.850000,5230.00,159.65800000,2004
"TrES-3 b","TrES-3",1.30618581000,0.0228200000,0.000000,81.85000,1.91000000,1.33600000,,0.928000,0.829000,5650.00,231.33700000,2007
"TrES-4 b","TrES-4",3.55395000000,,0.000000,82.81000,0.78000000,1.61000000,,1.080000,1.660000,6200.00,515.98000000,2007
"TrES-5 b","TrES-5",1.48224686000,0.0245900000,,84.27000,1.79000000,1.19400000,1480.00,0.901000,0.868000,5171.00,360.31300000,2011
"ups And b","ups And",4.61703300000,0.0592216600,0.021500,,0.68760000,,,1.300000,1.560000,,13.40540000,1996
"ups And c","ups And",241.25800000000,0.8277740000,0.259600,,1.98100000,,,1.300000,1.560000,,13.40540000,1999
"ups And d","ups And",1276.46000000000,2.5132900000,0.298700,,4.13200000,,,1.300000,1.560000,,13.40540000,1999
"USco CTIO 108 b","USco CTIO 108",,670.0000000000,,,14.00000000,,,0.060000,,2700.00,144.01900000,2008
"V0391 Peg b","V0391 Peg",1170.00000000000,1.7000000000,0.000000,,3.20000000,,,0.500000,0.230000,29300.00,1195.98000000,2007
"WASP-10 b","WASP-10",3.09276160000,0.0378100000,,88.49000,3.15000000,1.08000000,1370.00,0.750000,0.698000,4675.00,140.99800000,2008
"WASP-11 b","WASP-11",3.72247000000,,0.000000,89.80000,0.79000000,1.11000000,,1.420000,0.890000,4800.00,124.73000000,2008
"WASP-12 b","WASP-12",1.09141890100,0.0234000000,,81.80000,,1.96500000,,1.325000,1.690000,6265.00,427.24600000,2008
"WASP-13 b","WASP-13",4.35301000000,,0.000000,85.43000,0.36000000,1.22000000,,0.720000,1.370000,5950.00,227.53700000,2009
"WASP-14 b","WASP-14",2.24375000000,,0.090000,84.32000,8.84000000,1.38000000,,1.620000,1.400000,6475.00,161.99700000,2008
"WASP-15 b","WASP-15",3.75210000000,,0.000000,85.96000,0.54000000,1.41000000,,1.180000,1.480000,6300.00,282.09100000,2009
"WASP-16 b","WASP-16",3.11860000000,,0.000000,85.22000,1.24000000,1.22000000,,1.780000,1.140000,5700.00,194.13400000,2009
"WASP-17 b","WASP-17",3.73543000000,,0.000000,86.63000,0.78000000,1.87000000,,2.280000,1.490000,6550.00,405.90800000,2009
"WASP-18 b","WASP-18",0.94145223000,0.0202400000,0.005100,83.50000,10.20000000,1.24000000,2429.00,1.294000,1.319000,6432.00,123.48300000,2009
"WASP-19 b","WASP-19",0.78883852000,0.0165200000,0.012600,79.08000,1.15400000,1.41500000,2113.00,0.965000,1.006000,5616.00,268.32500000,2009
"WASP-1 b","WASP-1",2.51994540000,0.0388900000,0.000000,90.00000,0.85400000,1.48300000,,1.240000,1.470000,,393.07200000,2007
"Kepler-747 b","Kepler-747",35.61760587000,,,,,0.47015791,,0.820000,0.780000,5096.00,3347.16000000,2016
"WASP-21 b","WASP-21",4.32248200000,0.0520000000,0.000000,88.75000,0.30000000,1.07000000,,,,,258.42600000,2010
"WASP-22 b","WASP-22",3.53269000000,,0.020000,89.20000,0.67000000,1.23000000,,1.460000,1.240000,6000.00,317.65200000,2010
"WASP-24 b","WASP-24",2.34121000000,,0.000000,83.64000,1.24000000,1.38000000,,1.430000,1.420000,6075.00,322.11400000,2010
"WASP-25 b","WASP-25",3.76483370000,,,88.19000,0.56400000,1.23200000,1217.00,0.962000,0.884000,5697.00,211.41600000,2010
"WASP-26 b","WASP-26",2.75660000000,,0.000000,82.50000,0.85000000,1.21000000,,0.860000,1.220000,6034.00,252.75900000,2010
"WASP-28 b","WASP-28",3.40883495000,0.0442000000,0.000000,88.51400,0.88900000,1.21900000,1456.00,0.993000,1.083000,,348.49400000,2014
"WASP-29 b","WASP-29",3.92273000000,,0.030000,88.80000,0.23000000,0.77000000,,0.770000,0.790000,4800.00,87.59530000,2010
"WASP-2 b","WASP-2",2.15217500000,0.0314400000,,84.49000,0.93100000,1.08100000,1311.00,0.895000,0.866000,5180.00,153.24200000,2007
"WASP-31 b","WASP-31",3.40590960000,0.0465900000,0.000000,84.41000,0.47800000,1.54900000,,1.163000,1.252000,6302.00,383.82900000,2010
"WASP-32 b","WASP-32",2.71866000000,,0.000000,85.10000,2.63000000,0.96000000,,0.720000,0.950000,6140.00,275.99400000,2010
"WASP-33 b","WASP-33",1.21987000000,0.0239000000,,86.63000,2.09300000,1.59300000,2781.70,1.495000,1.444000,7430.00,121.94400000,2010
"WASP-34 b","WASP-34",4.31768000000,,0.040000,85.20000,0.56000000,1.00000000,,0.960000,0.910000,5700.00,132.09600000,2010
"WASP-35 b","WASP-35",3.16158000000,,0.000000,87.96000,0.71000000,1.30000000,,1.050000,1.080000,5990.00,202.21800000,2011
"WASP-36 b","WASP-36",1.53736596000,0.0267700000,,83.15000,2.36100000,1.32700000,1733.00,1.081000,0.985000,5959.00,386.34600000,2011
"WASP-37 b","WASP-37",3.57746900000,0.0446000000,0.000000,88.82000,1.80000000,1.16000000,,0.925000,1.003000,5800.00,392.79100000,2010
"WASP-38 b","WASP-38",6.87188000000,,0.030000,89.50000,3.44000000,1.23000000,,1.760000,1.520000,6180.00,136.24000000,2010
"WASP-39 b","WASP-39",4.05529410000,0.0482800000,,87.32000,0.28100000,1.27900000,1166.00,0.913000,0.939000,5485.00,213.98200000,2011
"WASP-3 b","WASP-3",1.84683000000,,0.000000,85.06000,2.43000000,1.42000000,,1.620000,1.440000,6400.00,231.16100000,2007
"WASP-41 b","WASP-41",3.05240000000,,0.000000,89.40000,0.85000000,1.10000000,,0.810000,0.830000,5545.00,163.37100000,2012
"WASP-43 b","WASP-43",0.81347500000,0.0142000000,0.000000,82.60000,1.78000000,0.93000000,,0.580000,0.600000,4400.00,86.74670000,2011
"WASP-44 b","WASP-44",2.42380400000,0.0345300000,,86.21000,0.87000000,1.10000000,1337.00,0.935000,0.906000,5420.00,364.51200000,2011
"WASP-45 b","WASP-45",3.12608900000,0.0396300000,,85.02000,0.96400000,0.94600000,1153.00,0.850000,0.855000,5150.00,211.19600000,2011
"WASP-46 b","WASP-46",1.43036763000,0.0233500000,,82.80000,1.91000000,1.17400000,1636.00,0.828000,0.858000,5600.00,375.31000000,2011
"WASP-48 b","WASP-48",2.14363000000,,0.000000,80.09000,0.80000000,1.50000000,,0.880000,1.580000,5920.00,454.14400000,2011
"WASP-4 b","WASP-4",1.33823099400,0.0226100000,,88.05000,1.20000000,1.34900000,1653.00,0.899000,0.912000,,267.20600000,2007
"WASP-50 b","WASP-50",1.95510000000,0.0293000000,,84.88000,1.46880000,1.16600000,1394.84,0.892000,0.843000,5400.00,184.84800000,2011
"WASP-5 b","WASP-5",1.62842790000,0.0267000000,0.038000,86.90000,1.58000000,1.08700000,1706.00,0.960000,1.029000,5700.00,309.13700000,2008
"WASP-6 b","WASP-6",3.36100260000,,,89.00000,0.46700000,1.11900000,1167.00,0.854000,0.790000,5438.00,197.11900000,2009
"WASP-7 b","WASP-7",4.95464160000,0.0617000000,,87.03000,0.96000000,1.33000000,1487.00,1.276000,1.432000,6400.00,162.30300000,2008
"WASP-8 b","WASP-8",8.15872000000,,0.310000,88.55000,2.54000000,1.13000000,,1.340000,1.030000,5600.00,89.96060000,2010
"XO-1 b","XO-1",3.94153000000,,0.000000,88.81000,0.83000000,1.14000000,,0.880000,0.880000,5750.00,163.55300000,2006
"XO-2 N b","XO-2 N",2.61586178000,0.0368000000,,88.01000,0.56600000,0.99300000,,0.971000,0.990000,,154.27300000,2007
"XO-3 b","XO-3",3.19152309000,0.0481500000,0.279100,83.66000,13.27000000,1.32000000,1890.00,1.449000,1.523000,6970.00,213.05300000,2007
"XO-4 b","XO-4",4.12508000000,,0.000000,88.80000,1.42000000,1.25000000,,1.100000,1.450000,6397.00,272.65500000,2010
"XO-5 b","XO-5",4.18775580000,0.0515000000,0.000000,86.80000,1.19000000,1.14000000,1230.00,1.040000,1.130000,5430.00,276.21100000,2008
"11 Com b","11 Com",323.21000000000,1.1780000000,0.238000,,15.46400000,,,2.090000,13.760000,4874.00,93.18460000,2007
"alf Ari b","alf Ari",380.80000000000,1.2000000000,0.250000,,1.80000000,,,1.500000,13.900000,4553.00,20.21019000,2010
"CoRoT-16 b","CoRoT-16",5.35227000000,0.0618000000,0.330000,85.01000,0.53500000,1.17000000,,1.098000,1.190000,5650.00,732.40900000,2011
"FU Tau b","FU Tau",,800.0000000000,,,16.00000000,,2375.00,0.050000,,2838.00,,2008
"HD 106515 A b","HD 106515 A",3626.00000000000,4.4800000000,0.571000,29.20000,18.90000000,,,0.890000,,,34.09150000,2012
"HD 166724 b","HD 166724",5144.00000000000,5.4200000000,0.734000,,3.53000000,,,0.810000,,5127.00,45.13420000,2012
"HD 180314 b","HD 180314",394.73000000000,1.4480000000,0.247000,,22.70700000,,,2.600000,9.200000,4917.00,122.36200000,2010
"HD 196067 b","HD 196067",3413.70000000000,4.7100000000,0.562920,29.70000,11.40000000,,,1.160000,1.710000,6072.00,39.93460000,2012
"HD 220689 b","HD 220689",2266.40000000000,3.3960000000,0.054000,,1.11800000,,,1.016000,1.068000,5921.00,46.87780000,2012
"HD 27631 b","HD 27631",2198.14000000000,3.2420000000,0.141000,,1.49400000,,,0.944000,0.923000,5737.00,50.28620000,2012
"HD 38283 b","HD 38283",363.20001000000,1.0200000000,0.410000,,0.40000000,,,1.370000,1.490000,5981.00,38.06150000,2010
"HD 65216 c","HD 65216",5370.00000000000,5.7500000000,0.170000,,2.03000000,,,0.874000,,5612.00,35.12050000,2013
"HD 98649 b","HD 98649",5384.00000000000,5.9700000000,0.852000,43.70000,9.70000000,,,0.970000,,,42.17270000,2012
"HIP 5158 c","HIP 5158",9017.76000000000,7.7000000000,0.140000,,15.04000000,,,0.780000,0.754089,4813.00,51.60260000,2011
"Kepler-471 b","Kepler-471",5.01423457500,,,,,1.33464181,,1.490000,1.800000,6733.00,1249.41000000,2016
"HN Peg b","HN Peg",,773.0000000000,,,21.99870000,1.05066000,,,,,18.11860000,2006
"HU Aqr AB b","HU Aqr",2390.00000000000,3.6000000000,0.000000,90.00000,5.90000000,,,0.880000,,,,2011
"HU Aqr AB c","HU Aqr",4368.00000000000,5.4000000000,0.510000,90.00000,4.50000000,,,0.880000,,,,2011
"LkCa 15 b","LkCa 15",,14.7000000000,,50.00000,,,,,1.607110,4194.00,158.15200000,2015
"NN Ser c","NN Ser",6987.00000000000,,0.089000,,9.71000000,,,0.535000,,,515.81800000,2010
"NN Ser d","NN Ser",2880.00000000000,,0.240000,,2.19000000,,,0.535000,,,515.81800000,2010
"nu Oph b","nu Oph",529.93000000000,1.7650000000,0.126000,,21.54800000,,,2.610000,12.240000,4887.00,46.21070000,2012
"nu Oph c","nu Oph",3180.60000000000,5.8290000000,0.179000,,23.69300000,,,2.610000,12.240000,4887.00,46.21070000,2012
"NY Vir b","NY Vir",3160.00000000000,,0.150000,,2.66000000,,,0.459000,0.151000,32780.00,544.02400000,2011
"Oph 11 b","Oph 11",7300000.00000000000,243.0000000000,,,14.00000000,,2175.00,0.016000,,2375.00,,2006
"Kepler-749 b","Kepler-749",17.31716585000,,,,,0.27656348,,0.790000,0.750000,5009.00,721.02700000,2016
"Ross 458 c","Ross 458",,1100.0000000000,,,6.00000000,1.25000000,,,,,11.50940000,2010
"SR 12 AB c","SR 12 AB",,,,,13.00000000,,,,,,,2010
"tau Gem b","tau Gem",305.50000000000,1.1700000000,0.031000,,20.60000000,,,2.300000,26.800000,4388.00,112.53700000,2013
"WASP-23 b","WASP-23",2.94442560000,0.0376000000,0.062000,88.39000,0.88400000,0.96200000,,0.780000,0.765000,5150.00,207.49000000,2010
"KOI-55 b","KOI-55",0.24010400000,0.0060000000,,65.00000,0.00140000,0.06770000,,0.496000,0.203000,27730.00,1231.02000000,2011
